checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_172943,converter_only,16,1000,1000,2.706283,0.445164,0.445164,0.024366,0.274579,0.049200,0.012212,0.004772,0.130943,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_172943
gpt2_to_llama3b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_060647,converter_only,32,1000,1000,1.114207,0.721219,0.721219,0.232006,0.529199,0.280537,0.181567,0.124554,0.411335,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_060647
gpt2_to_llama3b_to_qwen3b_converter_only_mem8_len128_100000samples_20260416_145406,converter_only,8,1000,1000,2.637760,0.450828,0.450828,0.029184,0.294625,0.052948,0.015722,0.005684,0.147166,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_converter_only_mem8_len128_100000samples_20260416_145406
gpt2_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_174552,encoder_converter,16,1000,1000,2.600916,0.456359,0.456359,0.037666,0.300375,0.064112,0.021799,0.009142,0.151027,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_174552
gpt2_to_llama3b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_062344,encoder_converter,32,1000,1000,0.834650,0.782273,0.782273,0.360745,0.640374,0.415797,0.300841,0.230159,0.570084,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_062344
gpt2_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_151024,encoder_converter,8,1000,1000,2.510371,0.467687,0.467687,0.044420,0.330879,0.076912,0.026913,0.012305,0.161714,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_151024
gpt2_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_180923,converter_only,16,1000,1000,0.683394,0.817680,0.817680,0.451781,0.726583,0.505310,0.386929,0.308701,0.659922,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_180923
gpt2_to_llama3b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_000336,converter_only,32,1000,1000,0.351659,0.908258,0.908258,0.687340,0.846150,0.722121,0.642804,0.580391,0.818747,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_000336
gpt2_to_llama3b_to_qwen7b_converter_only_mem8_len128_100000samples_20260416_153607,converter_only,8,1000,1000,1.234455,0.684023,0.684023,0.216902,0.578903,0.276924,0.158408,0.101571,0.432505,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_converter_only_mem8_len128_100000samples_20260416_153607
gpt2_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_183154,encoder_converter,16,1000,1000,0.730872,0.806406,0.806406,0.450570,0.730642,0.501339,0.387824,0.312350,0.657170,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_183154
gpt2_to_llama3b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_000336,encoder_converter,32,1000,1000,0.333590,0.913789,0.913789,0.711350,0.848291,0.741756,0.673303,0.617729,0.830887,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_000336
gpt2_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_155808,encoder_converter,8,1000,1000,1.223239,0.691547,0.691547,0.246043,0.589912,0.303591,0.185753,0.124332,0.451244,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_155808
gpt2_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_195618,converter_only,16,1000,1000,0.906695,0.776297,0.776297,0.370533,0.681564,0.429759,0.304500,0.228667,0.601019,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_195618
gpt2_to_llama8b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_011116,converter_only,32,1000,1000,0.464373,0.883516,0.883516,0.616539,0.798669,0.654091,0.568146,0.503663,0.764173,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_011116
gpt2_to_llama8b_to_llama1b_converter_only_mem8_len128_100000samples_20260416_172228,converter_only,8,1000,1000,1.563098,0.627219,0.627219,0.160126,0.543722,0.228592,0.109033,0.058511,0.397426,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_converter_only_mem8_len128_100000samples_20260416_172228
gpt2_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_200842,encoder_converter,16,1000,1000,0.810314,0.793469,0.793469,0.439137,0.722503,0.495216,0.376766,0.299270,0.644494,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_200842
gpt2_to_llama8b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260410_011116,encoder_converter,32,1000,1000,0.442240,0.890523,0.890523,0.662185,0.821737,0.696213,0.620980,0.560876,0.793232,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260410_011116
gpt2_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_173509,encoder_converter,8,1000,1000,1.518559,0.637789,0.637789,0.196811,0.558504,0.259001,0.142260,0.089676,0.419888,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_173509
gpt2_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_202552,converter_only,16,1000,1000,0.567411,0.858797,0.858797,0.583589,0.803661,0.627263,0.526636,0.458448,0.751552,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_202552
gpt2_to_llama8b_to_llama3b_converter_only_mem32_len128_100000samples_20260410_013128,converter_only,32,1000,1000,0.322230,0.927727,0.927727,0.789184,0.887794,0.808742,0.760567,0.720013,0.871419,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_llama3b_converter_only_mem32_len128_100000samples_20260410_013128
