pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,128,512,0.0162619498296408,0.020231255097314715,4.000780235975981,4.004904670640826,4.259028900181875,0.003826038640909246,0.6783632528968155,0.0024719788295107163,0.1407296721590683,24.08872528374195,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.8961898628622293,1.8057980509474874,3072,3584,0.15415067982679323,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,128,512,0.13484724704176188,0.14381694910116494,4.350877568125725,4.4200597777962685,3.856751402374357,0.03137297047942411,0.012605524949321989,0.018862181751263477,4.035336639732122,44.70128974318504,0.06723786145448685,0.04718389734625816,0.09733225405216217,0.09733225405216217,3.2864207942038774,0.6899590862449259,2.5964617079589516,4096,2048,0.6931471805575039,1.0,0.0,1.0,8.0,-2.0794415408048357,1.0
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,128,512,0.1448831189190969,0.15359264984726906,4.348465573042631,4.417702242732048,3.7002930464223027,0.03340023785131052,0.009784934962226544,0.01912715334536185,4.811781771481037,41.90519031882286,0.06600110232830048,0.04603511095046997,0.10376913845539093,0.10376913100481033,3.0276303105056286,0.6838191320421174,2.343811178463511,4096,3072,0.28768207245096716,1.0,0.0,3.0,8.0,-0.9808292528033928,1.0
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,128,512,0.030153724699630402,0.03374319992144592,4.4437004663050175,4.582140877842903,5.568460621871054,0.0029973766322655138,0.5698420172557235,0.00405676226586505,0.47983737918548286,39.8419354557991,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.6800398378400132,1.8433567221509293,4096,4096,0.0,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,128,512,0.08514476357959211,0.09148737316718325,4.304726094007492,4.30802833288908,3.74569781543687,0.016900069647817872,0.02569520313409157,0.012469423445113176,2.0262156492099166,45.301789462566376,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.68136599031277,2.2535354250576347,4096,1536,0.9808292530076572,0.0,1.0,1.5,8.0,-1.6739764330300049,1.0
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,128,512,0.059926969872321934,0.06578528066165745,4.301850646734238,4.305016487836838,3.6663641463965178,0.01198750294133788,0.04880323799443431,0.008628008924909187,1.2775998832657933,45.98128101229668,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.6806511259637773,2.126267267856747,4096,2048,0.6931471805575039,0.0,1.0,3.0,8.0,-0.9808292528033928,1.0
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,128,512,0.014344060342409648,0.017921437160111964,4.30266322940588,4.306752510368824,3.9479144422803074,0.003444449068410904,0.6896740323863924,0.002189751107437894,0.11013621307210997,25.906364232301712,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.6768322002608329,2.025155713548884,4096,3584,0.13353139262417382,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,128,512,0.08443769079167396,0.08936880237888545,5.397156171500683,5.399884644895792,3.609935806132853,0.013259837025543675,0.052162976877298206,0.011721084363829206,2.2281484082341194,53.939953088760376,0.05816026031970978,0.04653429985046387,0.10005860030651093,0.10005860030651093,3.2864207942038774,0.6214750519720837,2.6649457422317937,4096,2048,0.6931471805575039,0.0,1.0,1.0,7.0,-1.9459101481981704,1.0
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,128,512,0.09065693651791662,0.09566445974633098,5.397676434367895,5.400337427854538,3.4717357277404517,0.01450333545653848,0.03368239809060469,0.011913257522992094,2.675115618854761,49.674836456775665,0.05670587718486786,0.04595469310879707,0.10866017639636993,0.10866016894578934,3.0276303105056286,0.6245750396046788,2.40305527090095,4096,3072,0.28768207245096716,0.0,1.0,3.0,7.0,-0.8472978601967274,1.0
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,128,512,0.03308749251300469,0.0365756316750776,5.494557075202465,5.512543190270662,4.272903839591891,0.003269132865170832,0.2750666083302349,0.004397290202916688,1.4833699041046202,4.910800751298666,0.04798778146505356,2.6038948774953496e-11,1.1188719272613525,1.118871808052063,2.9135442646220326,0.6255245816428214,2.288019682979211,4096,4096,0.0,0.0,1.0,8.0,7.0,0.13353139260666547,0.0
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,128,512,0.05123752821236849,0.057357217388926074,5.393793676048517,5.396442148834467,3.526609092252329,0.01265272234013537,0.06189996199100278,0.007817597188509901,0.7299839803017676,52.01008281111717,0.06299355626106262,0.04985617473721504,0.10370670258998871,0.10370668768882751,2.9349014153704047,0.6252910429611802,2.3096103724092245,4096,1536,0.9808292530076572,0.0,1.0,1.5,7.0,-1.5404450404233394,1.0
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,128,512,0.03752950154012069,0.042943594307871535,5.395286336541176,5.398020714521408,3.451191487722099,0.008609990829427261,0.10333651106338948,0.005632228231443101,0.5024797352962196,50.080733478069305,0.05740310996770859,0.048326294869184494,0.10773177444934845,0.10773177444934845,2.806918393820524,0.627547481097281,2.1793709127232432,4096,2048,0.6931471805575039,0.0,1.0,3.0,7.0,-0.8472978601967274,1.0
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,128,512,0.024828221707139164,0.02875258326821495,5.4908680990338326,5.512986540794373,3.768299943767488,0.0033840985997812822,0.345958037301898,0.003513166968183069,1.1964518907479942,4.791696086525917,0.054259926080703735,0.0,1.1459132432937622,1.1459132432937622,2.7019879138097167,0.6227003610692918,2.079287552740425,4096,3584,0.13353139262417382,0.0,1.0,7.0,7.0,0.0,0.0
