encoder,source_a,source_b,pair_ab,pair_ba,retention_ab,retention_ba,retention_abs_gap,direction_rmse_ab,direction_rmse_ba,direction_rmse_abs_gap,anchor_js_ab,anchor_js_ba,anchor_js_abs_gap,norm_gap_ab,norm_gap_ba,norm_gap_abs_gap
gpt2,llama3b,qwen7b,gpt2:llama3b->qwen7b,gpt2:qwen7b->llama3b,0.9593344238830385,0.9119480476669249,0.047386376216113524,0.01866627056733705,0.14405909657943994,0.1253928260121029,0.0036959473145543598,0.022480799743789248,0.01878485242923489,3.9039464292582124,5.020053365966305,1.1161069367080927
llama1b,qwen1.5b,qwen3b,llama1b:qwen1.5b->qwen3b,llama1b:qwen3b->qwen1.5b,0.7290899281913905,0.7750209045364644,0.045930976345073926,0.07210996089270338,0.10833273123716936,0.03622277034446597,0.017802535177906975,0.024805609355098568,0.007003074177191593,4.985310950549319,5.495948327705264,0.5106373771559447
llama1b,mistral7b,qwen7b,llama1b:mistral7b->qwen7b,llama1b:qwen7b->mistral7b,0.9317921879149164,0.965350769141313,0.033558581226396655,0.02479243760171812,0.043431344791315496,0.018638907189597376,0.003611976160755148,0.003715186263434589,0.00010321010267944075,4.380224477266893,7.199405427207239,2.819180949940346
llama1b,llama1b,llama3b,llama1b:llama1b->llama3b,llama1b:llama3b->llama1b,0.9950892458419809,0.9689255221630467,0.02616372367893416,0.15455847862176597,0.13216088362969458,0.02239759499207139,0.028763358684955165,0.02180638475692831,0.006956973928026855,3.3720900078769773,4.00232862267876,0.6302386148017831
llama1b,llama1b,llama8b,llama1b:llama1b->llama8b,llama1b:llama8b->llama1b,0.9990869543492316,0.9802953052674641,0.018791649081767448,0.024374418338993564,0.1468813855899498,0.12250696725095622,0.005202574415307026,0.030702284755534492,0.025499710340227466,4.0168213655706495,3.7873883948195726,0.22943297075107694
llama1b,llama8b,qwen7b,llama1b:llama8b->qwen7b,llama1b:qwen7b->llama8b,0.973755851954694,0.9887724154221437,0.015016563467449617,0.01915217694477178,0.026700889386120252,0.007548712441348471,0.0034322505507589085,0.0036299394123489037,0.0001976888615899952,3.88092280481942,5.9400284244911745,2.0591056196717545
gpt2,llama8b,qwen7b,gpt2:llama8b->qwen7b,gpt2:qwen7b->llama8b,0.9372588638552726,0.9522575108399735,0.01499864698470088,0.01740409257763531,0.02613120386376977,0.008727111286134459,0.003450917187365121,0.003674011210023309,0.0002230940226581879,3.566013510862831,5.632114703767002,2.0661011929041706
llama1b,llama1b,qwen7b,llama1b:llama1b->qwen7b,llama1b:qwen7b->llama1b,0.9812591085583334,0.9678755142084411,0.013383594349892336,0.022589714237255976,0.13456361507996917,0.11197390084271319,0.0055146830272860825,0.021208311954978853,0.01569362892769277,3.61622954509221,5.482383455266245,1.8661539101740345
gpt2,llama3b,mistral7b,gpt2:llama3b->mistral7b,gpt2:mistral7b->llama3b,0.9168171363302092,0.9282721563844342,0.01145502005422494,0.03301802830537781,0.08457648498006165,0.05155845667468384,0.0037416297036543256,0.0150507840589853,0.011309154355330975,5.523993563489057,2.8247049048077315,2.6992886586813256
llama1b,llama3b,llama8b,llama1b:llama3b->llama8b,llama1b:llama8b->llama3b,0.9964901495547579,0.9886768060721384,0.007813343482619528,0.019270361197413877,0.15667583048343658,0.1374054692860227,0.003941588536690688,0.0326205367455259,0.02867894820883521,4.4914172846474685,3.6333421275485307,0.8580751570989378
llama1b,llama3b,qwen7b,llama1b:llama3b->qwen7b,llama1b:qwen7b->llama3b,0.9833291166501833,0.9862138600132304,0.0028847433630471153,0.018998290761373937,0.14501110918354243,0.1260128184221685,0.003748999128220021,0.022416924068238586,0.018667924940018565,4.090825464169029,5.327031034161337,1.2362055699923076
