metric,n,controls,pearson_residual,spearman_residual
pair_normalized_direction_rmse,83,target+encoder,0.015413526737317976,0.12184627009781285
_z_neg_pair_norm_direction_rmse,83,target+encoder,-0.015413526737317995,-0.12184627009781285
rel_direction_l1_to_target,83,target+encoder,0.002737751142632856,0.12075479618823727
source_target_top_anchor_overlap,83,target+encoder,-0.08748111253169087,-0.10643969606649595
_z_top_anchor_overlap,83,target+encoder,-0.08748111253169086,-0.10643969606649595
source_target_direction_dispersion_gap,83,target+encoder,0.1392394565690744,0.10060450862684187
_z_neg_direction_dispersion_gap,83,target+encoder,-0.13923945656907444,-0.10060450862684187
target_readability_energy,83,target+encoder,0.05895033822034125,0.09342596868309475
_z_target_readability_energy,83,target+encoder,0.05895033822034125,0.09342596868309475
diagnostic_source_direction_std_mean,83,target+encoder,-0.07974329115468035,-0.08903908316191596
target_magnitude_tail_frac,83,target+encoder,-0.1074181716117569,-0.07863011003640759
_z_neg_target_magnitude_tail,83,target+encoder,0.10741817161175693,0.07863011003640759
diagnostic_target_direction_std_mean,83,target+encoder,-0.014615843267605339,0.013117871287806317
diagnostic_target_direction_std_min,83,target+encoder,-0.04893653797926863,-0.012299558206078087
