target,metric,n,pearson,spearman
qwen1.5b,abs_log_hidden_ratio,12,-0.35053344044726625,-0.34937051739291736
qwen1.5b,prior_source_param_b,12,-0.26980294375809616,-0.34937051739291736
qwen1.5b,prior_log_param_ratio_target_over_source,12,0.2489863384765901,0.34937051739291736
qwen1.5b,_z_log_param_ratio,12,0.24898633847659005,0.34937051739291736
qwen1.5b,target_direction_subspace_residual,12,0.3357451876756656,0.34265734265734266
qwen1.5b,_z_neg_subspace_residual,12,-0.3357451876756658,-0.34265734265734266
qwen1.5b,diagnostic_source_direction_entropy_mean,12,-0.31414627437292797,-0.24475524475524477
qwen1.5b,diagnostic_rel_magnitude_z_abs_mean,12,-0.16239776674766326,-0.23076923076923078
qwen1.5b,diagnostic_target_direction_std_mean,12,0.23058586135406722,0.19847906537954926
qwen1.5b,diagnostic_target_direction_std_min,12,0.20684826532665462,0.19847906537954926
qwen1.5b,diagnostic_target_magnitude_std_mean,12,0.13062527159660603,0.1679438245519263
qwen1.5b,diagnostic_target_magnitude_std_min,12,0.13062524335540973,0.1679438245519263
qwen1.5b,memory_target_norm_gap,12,-0.036034587409781826,-0.14685314685314685
qwen1.5b,target_readability_cross_entropy,12,-0.13319414783753483,-0.14685314685314685
qwen1.5b,_z_neg_target_readability_ce,12,0.13319414783753486,0.14685314685314685
qwen1.5b,source_native_nll,12,-0.39096612997579994,-0.13286713286713286
qwen1.5b,target_minus_source_nll,12,0.39096612997579994,0.13286713286713286
qwen1.5b,_z_neg_source_native_nll,12,0.3909661299758,0.13286713286713286
qwen1.5b,combined_hidden_source_quality_score,12,0.3909661299757999,0.13286713286713286
qwen1.5b,source_to_target_anchor_kl,12,-0.05172690033644151,-0.11888111888111888
qwen1.5b,_z_neg_source_to_target_kl,12,0.05172690033644153,0.11888111888111888
qwen1.5b,rel_magnitude_l1_to_target,12,0.0014156450019222288,-0.11188811188811189
qwen1.5b,source_target_direction_entropy_gap,12,0.037718006802707954,-0.1048951048951049
qwen1.5b,_z_neg_direction_entropy_gap,12,-0.03771800680270796,0.1048951048951049
qwen1.5b,prior_same_model_family,12,0.10230626190650126,0.10241831129983783
qwen1.5b,prior_cross_model_family,12,-0.10230626190650126,-0.10241831129983783
qwen1.5b,anchor_direction_js_to_target,12,-0.03855807122312395,-0.08391608391608392
qwen1.5b,_z_neg_anchor_js,12,0.038558071223123956,0.08391608391608392
qwen1.5b,combined_hidden_js_score,12,0.038558071223124026,0.08391608391608392
qwen1.5b,rel_magnitude_rmse_to_target,12,-0.019098740166271035,-0.07692307692307693
qwen1.5b,pair_normalized_direction_rmse,12,-0.13322673537967458,-0.07692307692307693
qwen1.5b,_z_neg_magnitude_rmse,12,0.019098740166271045,0.07692307692307693
qwen1.5b,_z_neg_pair_norm_direction_rmse,12,0.13322673537967453,0.07692307692307693
qwen1.5b,rel_direction_l1_to_target,12,-0.13779844642229813,-0.06993006993006994
qwen1.5b,rel_direction_rmse_to_target,12,-0.13612980976593442,-0.06993006993006994
qwen1.5b,capacity_normalized_direction_rmse,12,-0.13612980976593445,-0.06993006993006994
qwen1.5b,diagnostic_rel_direction_z2_mean,12,-0.11471451665362964,-0.06993006993006994
qwen1.5b,target_readability_z2_mean,12,-0.11664753076587796,-0.06993006993006994
qwen1.5b,_z_neg_direction_rmse,12,0.13612980976593442,0.06993006993006994
qwen1.5b,_z_neg_target_readability_z2,12,0.11664753076587789,0.06993006993006994
qwen1.5b,combined_hidden_direction_score,12,0.13612980976593442,0.06993006993006994
qwen1.5b,combined_param_direction_score,12,0.13612980976593445,0.06993006993006994
qwen1.5b,target_readability_tail_frac,12,0.05635977797684689,0.05253948512537596
qwen1.5b,_z_neg_target_readability_tail,12,-0.05635977797684691,-0.05253948512537596
qwen1.5b,diagnostic_source_direction_std_mean,12,-0.054524329431665616,-0.03496503496503497
qwen1.5b,source_target_direction_dispersion_gap,12,0.048593883760077866,-0.02097902097902098
qwen1.5b,_z_neg_direction_dispersion_gap,12,-0.04859388376007788,0.02097902097902098
qwen1.5b,diagnostic_target_direction_entropy,12,-0.07793276396547745,-0.01526762041381148
qwen3b,source_native_nll,12,-0.6441805773051424,-0.5524475524475524
