compressor,metric,n,pearson,spearman
gpt2:qwen1.5b,diagnostic_target_direction_std_mean,6,-0.382737089852316,-0.4857142857142857
gpt2:qwen1.5b,source_to_target_anchor_kl,6,-0.5112689549105097,-0.4857142857142857
gpt2:qwen1.5b,_z_neg_anchor_js,6,0.5612262538548388,0.4857142857142857
gpt2:qwen1.5b,_z_neg_source_to_target_kl,6,0.5112689549105097,0.4857142857142857
gpt2:qwen1.5b,combined_hidden_direction_score,6,0.5410006888788549,0.4857142857142857
gpt2:qwen1.5b,diagnostic_rel_magnitude_z_abs_mean,6,-0.317536247275396,-0.37142857142857144
gpt2:qwen1.5b,diagnostic_target_magnitude_std_mean,6,0.5670303765581266,0.37142857142857144
gpt2:qwen1.5b,diagnostic_target_magnitude_std_min,6,0.5670303708073733,0.37142857142857144
gpt2:qwen1.5b,target_readability_tail_frac,6,0.007893299498106146,-0.37142857142857144
gpt2:qwen1.5b,_z_neg_target_readability_tail,6,-0.00789329949810615,0.37142857142857144
gpt2:qwen1.5b,pair_geometry_compatibility_score,6,-0.44283985723777025,-0.37142857142857144
gpt2:qwen1.5b,memory_target_norm_gap,6,0.3086420646371156,0.3142857142857143
gpt2:qwen1.5b,target_readability_cross_entropy,6,-0.5190857334781193,-0.3142857142857143
gpt2:qwen1.5b,_z_neg_target_readability_ce,6,0.5190857334781194,0.3142857142857143
gpt2:qwen1.5b,rel_magnitude_l1_to_target,6,0.458529583857492,0.2571428571428571
gpt2:qwen1.5b,rel_magnitude_rmse_to_target,6,0.49077403082907695,0.2571428571428571
gpt2:qwen1.5b,diagnostic_rel_direction_z2_mean,6,0.5945284091920153,0.2571428571428571
gpt2:qwen1.5b,target_readability_z2_mean,6,0.5945048155024169,0.2571428571428571
gpt2:qwen1.5b,diagnostic_target_direction_entropy,6,0.6298774047600387,0.2571428571428571
gpt2:qwen1.5b,_z_neg_magnitude_rmse,6,-0.49077403082907695,-0.2571428571428571
gpt2:qwen1.5b,_z_neg_target_readability_z2,6,-0.5945048155024169,-0.2571428571428571
gpt2:qwen1.5b,target_text_nll,6,-0.1332053505672787,-0.2
gpt2:qwen1.5b,target_minus_source_nll,6,-0.1289169215112653,-0.2
