task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T2_select_target,gpt2:llama1b,target_readability_energy,6,0,0.1310075185386237,0.5428571428571428,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,source_target_top_anchor_overlap,6,0,0.11672483230171116,-0.08571428571428572,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,source_target_direction_entropy_gap,6,0,0.9633047288273731,0.08571428571428572,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,source_target_direction_dispersion_gap,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,diagnostic_source_direction_entropy_mean,6,0,0.1317674458646183,0.030358837035945812,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,diagnostic_target_direction_entropy,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,diagnostic_source_direction_std_mean,6,0,0.1317674458646183,0.15179418517972906,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,_z_target_hidden_size,6,0,0.11672483230171116,0.753702346348183,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_prior_target_param_b,6,0,0.11672483230171116,0.7944613465542745,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_log_param_ratio,6,0,0.11672483230171116,0.7944613465542745,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_neg_direction_rmse,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,_z_neg_anchor_js,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_neg_magnitude_rmse,6,0,0.1310075185386237,-0.42857142857142855,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,_z_neg_subspace_residual,6,0,0.1317674458646183,-0.7142857142857143,0.9712715251516381,0.8395040792870198
T2_select_target,gpt2:llama1b,_z_neg_pair_norm_direction_rmse,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,_z_neg_target_readability_z2,6,1,0.0,0.7142857142857143,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,_z_neg_target_readability_tail,6,1,0.0,0.7714285714285715,0.9712715251516381,0.9712715251516381
T2_select_target,gpt2:llama1b,_z_neg_target_readability_ce,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_neg_source_to_target_kl,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_target_readability_energy,6,0,0.1310075185386237,0.5428571428571428,0.9712715251516381,0.8402640066130144
T2_select_target,gpt2:llama1b,_z_top_anchor_overlap,6,0,0.11672483230171116,-0.08571428571428572,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_neg_direction_entropy_gap,6,0,0.9633047288273731,0.08571428571428572,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,_z_neg_direction_dispersion_gap,6,0,0.11672483230171116,0.6,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,_z_neg_source_native_nll,6,0,0.9633047288273731,-0.42857142857142855,0.9712715251516381,0.007966796324265028
T2_select_target,gpt2:llama1b,combined_hidden_direction_score,6,0,0.11672483230171116,0.6571428571428571,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,combined_hidden_js_score,6,0,0.11672483230171116,0.6571428571428571,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,combined_hidden_source_quality_score,6,0,0.11672483230171116,0.7714285714285715,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,combined_param_direction_score,6,0,0.11672483230171116,0.7142857142857143,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,combined_ratio_direction_score,6,0,0.11672483230171116,0.7142857142857143,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama1b,pair_geometry_compatibility_score,6,0,0.11672483230171116,0.7142857142857143,0.9712715251516381,0.8545466928499269
T2_select_target,gpt2:llama3b,rel_direction_l1_to_target,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,rel_direction_rmse_to_target,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,rel_magnitude_l1_to_target,6,0,0.17225052889339787,-0.42857142857142855,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,rel_magnitude_rmse_to_target,6,0,0.17225052889339787,-0.42857142857142855,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,memory_target_norm_gap,6,0,0.9318981897452254,-0.7714285714285715,0.9439787499896564,0.012080560244430969
T2_select_target,gpt2:llama3b,anchor_direction_js_to_target,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,target_direction_subspace_residual,6,0,0.29449673483971717,-0.7714285714285715,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,capacity_normalized_direction_rmse,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,diagnostic_rel_direction_z2_mean,6,1,0.0,0.3142857142857143,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,diagnostic_rel_magnitude_z_abs_mean,6,0,0.08134154327433119,0.9428571428571428,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,diagnostic_target_direction_std_mean,6,0,0.29449673483971717,-0.6,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,diagnostic_target_direction_std_min,6,1,0.0,-0.08571428571428572,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,diagnostic_target_magnitude_std_mean,6,0,0.08134154327433119,0.9428571428571428,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,diagnostic_target_magnitude_std_min,6,0,0.08134154327433119,0.9428571428571428,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,target_text_nll,6,0,0.17225052889339787,0.37142857142857144,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,source_native_nll,6,0,0.17225052889339787,0.4857142857142857,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,target_minus_source_nll,6,0,0.17225052889339787,0.37142857142857144,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,target_hidden_size,6,0,0.08134154327433119,0.7061878636037996,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,abs_log_hidden_ratio,6,1,0.0,0.8827348295047495,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,prior_same_model_family,6,0,0.29449673483971717,0.20701966780270628,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,prior_cross_model_family,6,0,0.17225052889339787,-0.20701966780270628,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,prior_target_param_b,6,0,0.08134154327433119,0.6667366910003157,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,prior_log_param_ratio_target_over_source,6,0,0.08134154327433119,0.6667366910003157,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,prior_param_tier_jump,6,0,0.08134154327433119,0.6761234037828133,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,pair_normalized_direction_rmse,6,1,0.0,0.7714285714285715,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,target_readability_z2_mean,6,1,0.0,0.3142857142857143,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,target_readability_tail_frac,6,1,0.0,0.4857142857142857,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,target_readability_cross_entropy,6,0,0.17225052889339787,0.6,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,source_to_target_anchor_kl,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,target_readability_energy,6,0,0.29449673483971717,-0.7142857142857143,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,source_target_top_anchor_overlap,6,0,0.29449673483971717,-0.5428571428571428,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,source_target_direction_entropy_gap,6,1,0.0,0.7714285714285715,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,source_target_direction_dispersion_gap,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
