metric,n,controls,pearson_residual,spearman_residual
_z_log_param_ratio,83,target+encoder,0.09322474628067708,0.12791746624392855
source_target_top_anchor_overlap,83,target+encoder,-0.0861269437206787,-0.12667394315939717
_z_top_anchor_overlap,83,target+encoder,-0.08612694372067868,-0.12667394315939717
pair_normalized_direction_rmse,83,target+encoder,0.10659548879297481,0.1250367322950338
_z_neg_pair_norm_direction_rmse,83,target+encoder,-0.10659548879297484,-0.1250367322950338
pair_geometry_compatibility_score,83,target+encoder,-0.058870095424646454,-0.12287477435875908
diagnostic_target_direction_entropy,83,target+encoder,-0.13468163425544194,-0.1078429027010719
source_target_direction_dispersion_gap,83,target+encoder,0.07859469233627926,0.08861928550438689
_z_neg_direction_dispersion_gap,83,target+encoder,-0.07859469233627926,-0.08861928550438689
prior_source_param_b,83,target+encoder,-0.0975579120648556,-0.08270680282298501
diagnostic_source_direction_std_mean,83,target+encoder,-0.0323217041221758,-0.07864909113807145
diagnostic_target_magnitude_std_mean,83,target+encoder,-0.07690189522280674,-0.07769734276474888
diagnostic_target_magnitude_std_min,83,target+encoder,-0.07690191101399509,-0.07769734276474888
memory_target_norm_gap,83,target+encoder,-0.06447370620883669,-0.0721212375634944
source_hidden_size,83,target+encoder,-0.014101516286370791,-0.060145232136430665
target_magnitude_tail_frac,83,target+encoder,-0.08475133806351248,-0.04827867430261611
_z_neg_target_magnitude_tail,83,target+encoder,0.08475133806351247,0.04827867430261611
target_readability_energy,83,target+encoder,-0.027507680379264383,-0.03719407245707569
_z_target_readability_energy,83,target+encoder,-0.027507680379264363,-0.03719407245707569
diagnostic_target_direction_std_min,83,target+encoder,0.08639794021382761,0.03496070396349271
target_direction_subspace_residual,83,target+encoder,0.2643632115687964,-0.027181898325007347
_z_neg_subspace_residual,83,target+encoder,-0.26436321156879644,0.027181898325007347
diagnostic_target_direction_std_mean,83,target+encoder,0.18851981671924947,0.021673690581833358
combined_ratio_direction_score,83,target+encoder,0.016584011782583234,0.01295075773477184
diagnostic_source_direction_entropy_mean,83,target+encoder,0.12633025778076906,0.006380924394441879
abs_log_hidden_ratio,83,target+encoder,-0.014403199802623296,-0.0022704247014101752
